,psize
1236,1.9999899240999999
1237,1.0
1238,2.9999972025000003
1239,1.0
1240,1.0
1241,10.7063766436
1242,1.8032998369
1243,10.4902788769
1244,9.7064025601
1245,8.7063944356
1246,9.490281196900002
1247,2.8033139761
1248,7.4902931856
1249,8.490288716099998
1250,7.706398081600001
1251,4.706426524900001
1252,7.2935644356000005
1253,6.7063907089
1254,4.0
1255,5.7064132161
1256,1.2935877695999998
1257,4.0
1258,5.000009044899999
1259,2.9999972025000003
1260,1.0
1261,1.0
1262,2.9999972025000003
1263,1.9999899240999999
1264,1.0
1265,7.942758524100001
1266,8.114464988100002
1267,7.942758524100001
1268,5.1896484864
1269,7.2598452480999995
1270,6.625681921600001
1271,7.114435944099999
1272,6.18467161
1273,7.184651376399999
1274,5.1986280025000005
1275,8.815317283599999
1276,4.191642022499999
1277,5.625672422499999
1278,4.383286576900001
1279,2.6167268168999995
1280,1.9999899240999999
1281,1.9999899240999999
1282,4.191642022499999
1283,1.6167122500000002
1284,1.9999899240999999
1285,5.1846834601000005
1286,1.0
1287,1.0
1288,1.9999899240999999
1289,8.0000162649
1290,8.0000162649
1291,6.719967444100001
1292,7.7199511104
1293,5.5600696804
1294,8.0000162649
1295,7.7199511104
1296,6.719967444100001
1297,9.2562586081
1298,3.5600519761000005
1299,4.5600612849
1300,1.0
1301,8.2562551569
1302,2.1837155076
1303,4.9999643236
1304,5.000053766399999
1305,4.000080000400001
1306,3.9999200004000004
1307,3.0000318436
1308,4.0
1309,2.9999625616000003
1310,1.0
1311,1.0
1312,1.0
1313,24.000005040399998
1314,16.339704217599998
1315,15.339677228099998
1316,2.6603241025
1317,2.8301669361
1318,10.28613184
1319,9.2861591824
1320,17.3396455281
1321,3.66033424
1322,4.0535379555999995
1323,8.2861652449
1324,2.8301669361
1325,8.9464997449
1326,7.946479102500001
1327,1.0267566241000001
1328,3.0535116049
1329,6.946492784399999
1330,1.0267566241000001
1331,5.000009044899999
1332,4.0
1333,2.9999972025000003
1334,1.0
1335,1.9999899240999999
1336,1.0
